,oxide,mass frac (g/100g),uncertainty
0,Na2O,2.219,0.048
1,MgO,7.257,0.042
2,Al2O3,13.44,0.06
3,SiO2,49.6,0.14
4,P2O5,0.2685,0.005
5,K2O,0.513,0.0037
6,CaO,11.4,0.06
7,TiO2,2.731,0.018
8,MnO,0.169,0.0019
9,Fe2O3,12.39,0.09
